流式输出内容被截断，只能显示最后 5000 行内容。
Image  5354: psnr: 16.66436 / bpp_real: 2.45312, saving in out/...
Image  5355: psnr: 9.57421 / bpp_real: 2.06250, saving in out/...
Image  5356: psnr: 15.60240 / bpp_real: 2.66406, saving in out/...
Image  5357: psnr: 18.22746 / bpp_real: 2.48438, saving in out/...
Image  5358: psnr: 11.18918 / bpp_real: 2.26562, saving in out/...
Image  5359: psnr: 17.58494 / bpp_real: 2.28125, saving in out/...
Image  5360: psnr: 14.97342 / bpp_real: 2.09375, saving in out/...
Image  5361: psnr: 15.67710 / bpp_real: 2.09375, saving in out/...
Image  5362: psnr: 15.84889 / bpp_real: 2.28125, saving in out/...
Image  5363: psnr: 14.27676 / bpp_real: 2.23438, saving in out/...
Image  5364: psnr: 14.07236 / bpp_real: 2.08594, saving in out/...
Image  5365: psnr: 12.16253 / bpp_real: 2.18750, saving in out/...
Image  5366: psnr: 15.77077 / bpp_real: 2.40625, saving in out/...
Image  5367: psnr: 15.25056 / bpp_real: 2.40625, saving in out/...
Image  5368: psnr: 13.18909 / bpp_real: 2.40625, saving in out/...
Image  5369: psnr: 13.32494 / bpp_real: 2.20312, saving in out/...
Image  5370: psnr: 11.92905 / bpp_real: 2.03125, saving in out/...
Image  5371: psnr: 15.08538 / bpp_real: 2.25000, saving in out/...
Image  5372: psnr: 16.90769 / bpp_real: 2.23438, saving in out/...
Image  5373: psnr: 14.41272 / bpp_real: 2.28125, saving in out/...
Image  5374: psnr: 14.61193 / bpp_real: 2.25000, saving in out/...
Image  5375: psnr: 11.66600 / bpp_real: 2.10938, saving in out/...
Image  5376: psnr: 17.09178 / bpp_real: 2.15625, saving in out/...
Image  5377: psnr: 13.75311 / bpp_real: 2.39062, saving in out/...
Image  5378: psnr: 15.05608 / bpp_real: 2.20312, saving in out/...
Image  5379: psnr: 12.00603 / bpp_real: 2.25000, saving in out/...
Image  5380: psnr: 13.49900 / bpp_real: 2.39062, saving in out/...
Image  5381: psnr: 14.47298 / bpp_real: 2.23438, saving in out/...
Image  5382: psnr: 15.31101 / bpp_real: 2.06250, saving in out/...
Image  5383: psnr: 16.27881 / bpp_real: 2.12500, saving in out/...
Image  5384: psnr: 17.67955 / bpp_real: 2.20312, saving in out/...
Image  5385: psnr: 12.00887 / bpp_real: 2.21875, saving in out/...
Image  5386: psnr: 16.75148 / bpp_real: 2.26562, saving in out/...
Image  5387: psnr: 13.05554 / bpp_real: 2.28125, saving in out/...
